taxname,specimen_voucher,accession
Acanthocercus annectans,UPRM_GenResCol_1743,JBJPGY000000000
Acanthocercus atricollis,UPRM_GenResCol_1740,JBJPHF000000000
Acanthocercus cyanogaster,UPRM_GenResCol_1025,JBHLFK000000000
Acanthocercus guentherpetersi,UPRM_GenResCol_1769,JBJJOB000000000
Acanthocercus minutus,UPRM_GenResCol_982,JBHLFA000000000
Agama doriae,UPRM_GenResCol_944,JBIELC000000000
Agama finchi,UPRM_GenResCol_900,JBHRFR000000000
Ameiva ameiva,UPRM_GenResCol_1198,JBJNSF000000000
Anilius scytale,UPRM_GenResCol_1197,JBINKI000000000
Anolis lemurinus,UPRM_GenResCol_1367,JBJJOQ000000000
Anolis planiceps,UPRM_GenResCol_1216,JBJNSJ000000000
Anolis rodriguezii,UPRM_GenResCol_1235,JBHLEY000000000
Anolis sericeus,UPRM_GenResCol_1265,JBJUSB000000000
Anolis tropidonotus,UPRM_GenResCol_1289,JBHLFJ000000000
Aparallactus lunulatus,UPRM_GenResCol_1042,JBJJOF000000000
Aspidoscelis angusticeps,UPRM_GenResCol_1236,JBHNVU000000000
Atractaspis fallax,UPRM_GenResCol_1783,JBJJOA000000000
Atractaspis microlepidota,UPRM_GenResCol_935,JBHOMR000000000
Bachia flavescens,UPRM_GenResCol_1137,JBINKJ000000000
Basiliscus vittatus,UPRM_GenResCol_1288,JBJNIN000000000
Bitis arietans,UPRM_GenResCol_805,JBHNWB000000000
Boa imperator,UPRM_GenResCol_1515,JBJNSB000000000
Bofa erlangeri,UPRM_GenResCol_759,JBJJOI000000000
Bothrops asper,UPRM_GenResCol_1417,JBHLFB000000000
Bothrops atrox,UPRM_GenResCol_1183,JBJNSD000000000
Cachryx defensor,UPRM_GenResCol_1544,JBLADH000000000
Causus rhombeatus,UPRM_GenResCol_1020,JBHNWA000000000
Chamaeleo dilepis,UPRM_GenResCol_1049,JBHLFC000000000
Chamaeleo gracilis,UPRM_GenResCol_687,JBINKK000000000
Chamaeleo laevigatus,UPRM_GenResCol_801,JBIELG000000000
Chelonoidis denticulatus,UPRM_GenResCol_1149,JBJNID000000000
Coleonyx elegans,UPRM_GenResCol_1267,JBHOMS000000000
Coniophanes imperialis,UPRM_GenResCol_1243,JBIELE000000000
Coniophanes schmidti,UPRM_GenResCol_1266,JBKIKE000000000
Corallus caninus,UPRM_GenResCol_1134,JBJPHE000000000
Cordylus rivae,UPRM_GenResCol_1038,JBJJOE000000000
Corytophanes hernandesii,UPRM_GenResCol_1437,JBKOQM000000000
Crotalus simus,UPRM_GenResCol_1449,JBIELB000000000
Crotaphopeltis hotamboeia,UPRM_GenResCol_765,JBHNVX000000000
Dasypeltis abyssina,UPRM_GenResCol_525,JBJJOG000000000
Diadophis punctatus,UPRM_GenResCol_642,JBLLKW000000000
Dipsas brevifacies,UPRM_GenResCol_1300,JBJPGV000000000
Drymarchon corais,UPRM_GenResCol_1469,JBHLFG000000000
Drymobius margaritiferus,UPRM_GenResCol_1244,JBIDEK000000000
Geophis sartorii,UPRM_GenResCol_1308,JBJPGZ000000000
Gonatodes alexandermendesi,UPRM_GenResCol_1214,JBGSAX000000000
Hemidactylus brookii,UPRM_GenResCol_1063,JBHZFW000000000
Hemidactylus flaviviridis,UPRM_GenResCol_1744,JBJPHH000000000
Hemidactylus macropholis,UPRM_GenResCol_1747,JBJNII000000000
Holcosus undulatus,UPRM_GenResCol_1298,JBJNSC000000000
Imantodes gemmistratus,UPRM_GenResCol_1462,JBIELF000000000
Imantodes tenuissimus,UPRM_GenResCol_1913,JBJKBH000000000
Kentropyx calcarata,UPRM_GenResCol_1200,JBJNRU000000000
Laemanctus serratus,UPRM_GenResCol_1286,JBGGHT000000000
Latastia doriai,UPRM_GenResCol_1882,JBJJOD000000000
Leptodeira frenata,UPRM_GenResCol_1270,JBHNVY000000000
Leptophis mexicanus,UPRM_GenResCol_1274,JBFTWW000000000
Marisora unimarginata,UPRM_GenResCol_1575,JBJNIG000000000
Mesoscincus schwartzei,UPRM_GenResCol_1574,JBJPGL000000000
Micrurus diastema,UPRM_GenResCol_1379,JBHNWF000000000
Micrurus fulvius,UPRM_GenResCol_638,JBJJOJ000000000
Mochlus sundevallii,UPRM_GenResCol_802,JBIEKX000000000
Naja haje,UPRM_GenResCol_828,JBHLEZ000000000
Naja melanoleuca,UPRM_GenResCol_763,JBIEOI000000000
Naja nigricollis,UPRM_GenResCol_905,JBHNWC000000000
Natriciteres olivacea,UPRM_GenResCol_859,JBIMDY000000000
Nerodia floridana,UPRM_GenResCol_1115,JBJNIF000000000
Ninia diademata,UPRM_GenResCol_1708,JBJJOC000000000
Ninia sebae,UPRM_GenResCol_1453,JBJJOH000000000
Ophisaurus attenuatus,UPRM_GenResCol_648,JBJJON000000000
Paleosuchus palpebrosus,UPRM_GenResCol_1156,JBKSNM000000000
Panaspis annettesabinae,UPRM_GenResCol_737,JBHLFE000000000
Pantherophis guttatus,UPRM_GenResCol_656,JBJNIC000000000
Pelomedusa sp. Ethiopia,UPRM_GenResCol_809,JBIMOV000000000
Philothamnus battersbyi,UPRM_GenResCol_723,JBIEKW000000000
Phrynonax poecilonotus,UPRM_GenResCol_1392,JBHRFS000000000
Psammophis punctulatus,UPRM_GenResCol_934,JBHNVV000000000
Psammophis sibilans,UPRM_GenResCol_855,JBIELD000000000
Pseudelaphe flavirufa,UPRM_GenResCol_1482,JBJNIH000000000
Rhinoclemmys areolata,UPRM_GenResCol_1466,JBIMPB000000000
Sceloporus chrysostictus,UPRM_GenResCol_1269,JBHLFM000000000
Siphlophis compressus,UPRM_GenResCol_1185,JBJMAP000000000
Sphaerodactylus glaucus,UPRM_GenResCol_1514,JBINKN000000000
Tarentola annularis,UPRM_GenResCol_1745,JBJPGK000000000
Telescopus dhara,UPRM_GenResCol_783,JBHRFQ000000000
Terrapene carolina,UPRM_GenResCol_1380,JBIMPH000000000
Thamnophis saurita,UPRM_GenResCol_637,JBJMAQ000000000
Thecadactylus rapicauda,UPRM_GenResCol_1259,JBIMEL000000000
Trachemys venusta,UPRM_GenResCol_1542,JBINOP000000000
Trachylepis brevicollis,UPRM_GenResCol_1040,JBHLFF000000000
Trachylepis maculilabris,UPRM_GenResCol_715,JBIDEJ000000000
Trachylepis striata,UPRM_GenResCol_716,JBIELK000000000
Trioceros affinis,UPRM_GenResCol_989,JBHUPM000000000
Trioceros balebicornutus,UPRM_GenResCol_1014,JBHZFU000000000
Trioceros harennae,UPRM_GenResCol_1010,JBHRFO000000000
Trionyx triunguis,UPRM_GenResCol_808,JBIMOU000000000
Tropidodipsas fasciata,UPRM_GenResCol_1292,JBJNIB000000000
Varanus albigularis,UPRM_GenResCol_1062,JBIEOM000000000
Varanus niloticus,UPRM_GenResCol_854,JBIELW000000000
Xenagama zonura,UPRM_GenResCol_1718,JBHLFD000000000
Xenodon rabdocephalus,UPRM_GenResCol_1579,JBFXLW000000000